1,2,3,4,5,6
14,16,27,35,39,45
5,12,13,31,32,41
8,9,20,25,29,33
9,18,20,22,38,44
10,14,16,18,29,35
5,6,11,29,42,45
12,15,17,24,29,45
12,27,29,38,41,45
1,4,13,17,34,39
3,19,21,25,37,45
12,18,22,23,30,34
15,26,28,34,41,42
14,23,31,33,37,40
3,11,14,18,26,27
21,22,26,34,36,41
5,11,18,20,35,45
1,9,12,26,35,38
9,12,15,25,34,36
15,23,29,34,40,44
9,11,30,31,41,44
8,11,16,19,21,25
8,11,15,16,17,37
8,13,18,24,27,29
7,15,30,37,39,44
1,4,29,39,43,45
17,25,33,35,38,45
6,10,12,14,20,42
2,8,19,22,32,42
1,3,9,14,18,28
13,17,18,20,42,45
4,7,14,16,24,44
